accessed_date,duration_(secs),network_protocol,ip,bytes,accessed_Ffom,age,gender,country,membership,language,sales,returned,returned_amount,pay_method,net_sales,is_converted,is_returned
2017-03-14 17:43:57.172,2533,TCP  ,1.10.195.126,20100,Chrome,28,Female,CA,Normal,English,261.96,No,0.0,Credit Card,261.96,1,0
2017-03-14 17:43:57.172,4034,TCP  ,1.1.217.211,20500,Mozilla Firefox,21,Male,AR,Normal,English,731.94,No,0.0,Debit Card,731.94,1,0
2017-03-14 17:43:26.135,1525,TCP  ,1.115.198.107,90100,Mozilla Firefox,20,Male,PL,Normal,English,14.62,No,0.0,Cash,14.62,1,0
2017-03-14 17:43:26.135,4572,TCP  ,1.121.152.143,100300,Mozilla Firefox,66,Female,IN,Normal,Spanish,957.5775,No,0.0,Credit Card,957.5775,1,0
2017-03-14 18:17:09.005,3652,TCP  ,1.123.135.213,270200,Mozilla Firefox,53,Female,KR,Normal,Spanish,22.368,No,0.0,Cash,22.368,1,0
2017-03-14 18:17:09.005,3847,TCP  ,1.124.48.210,10200,Mozilla Firefox,28,Female,CA,Normal,English,48.86,No,0.0,Credit Card,48.86,1,0
2017-03-14 19:46:37.327,2090,TCP  ,1.124.48.99,310900,Mozilla Firefox,49,Female,CN,Normal,English,0.0,Yes,957.5775,Cash,-957.5775,0,1
2017-03-14 19:46:37.327,2793,TCP  ,1.126.48.118,10700,Mozilla Firefox,32,Female,AT,Normal,English,907.152,No,0.0,Credit Card,907.152,1,0
2017-03-14 19:02:42.704,3396,TCP  ,1.126.48.171,250200,Mozilla Firefox,69,Male,US,Normal,Spanish,18.504,No,0.0,Others,18.504,1,0
2017-03-14 19:02:42.704,2064,TCP  ,1.126.48.47,20600,Mozilla Firefox,60,Female,CA,Normal,Spanish,114.9,No,0.0,Credit Card,114.9,1,0
2017-03-14 20:17:17.014,3288,TCP  ,1.128.96.235,520500,Mozilla Firefox,36,Female,SE,Normal,English,1706.184,No,0.0,Cash,1706.184,1,0
2017-03-14 20:17:17.014,2973,TCP  ,1.128.96.30,30500,Android App,29,Female,CH,Normal,Chinese,911.424,No,0.0,Credit Card,911.424,1,0
2017-03-14 17:44:10.042,4464,TCP  ,1.128.97.122,640800,Chrome,67,Female,IN,Normal,Spanish,15.552,No,0.0,Debit Card,15.552,1,0
2017-03-14 17:44:10.042,2307,ICMP ,1.129.96.120,90800,Chrome,25,Male,IN,Normal,Spanish,407.976,No,0.0,Cash,407.976,1,0
2017-03-14 17:43:39.011,2440,TCP  ,1.129.96.21,330000,Chrome,67,Female,US,Normal,Spanish,68.81,No,0.0,Credit Card,68.81,1,0
2017-03-14 17:43:39.011,4716,TCP  ,1.129.96.252,50800,Chrome,24,Male,NO,Normal,English,2.544,No,0.0,Credit Card,2.544,1,0
2017-03-15 00:00:10.677,4563,TCP  ,1.129.96.79,46,Chrome,65,Male,IN,Premium,Spanish,665.88,No,0.0,Debit Card,665.88,1,0
2017-03-15 00:00:10.677,2380,TCP  ,1.129.96.86,40,Chrome,42,Female,JP,Premium,Spanish,55.5,No,0.0,Credit Card,55.5,1,0
2017-03-15 00:00:09.156,4127,TCP  ,1.129.97.46,3093,IOS App,46,Female,PL,Premium,English,8.56,No,0.0,Cash,8.56,1,0
2017-03-15 00:00:09.156,3461,TCP  ,1.129.97.62,2843,IOS App,24,Male,GB,Premium,Spanish,213.48,No,0.0,Others,213.48,1,0
2017-03-15 00:00:27.441,3050,TCP  ,1.132.96.125,46,IOS App,23,Male,CA,Premium,Spanish,22.72,No,0.0,Credit Card,22.72,1,0
2017-03-15 00:00:27.441,2283,TCP  ,1.132.96.203,40,IOS App,27,Female,SE,Premium,Spanish,19.46,No,0.0,Cash,19.46,1,0
2017-03-15 00:00:27.659,2203,TCP  ,1.132.97.60,2985,IOS App,52,Male,JP,Premium,English,0.0,Yes,18.504,Credit Card,-18.504,0,1
2017-03-15 00:00:27.659,2040,TCP  ,1.136.97.40,2843,IOS App,44,Male,CH,Premium,English,71.372,No,0.0,Cash,71.372,1,0
2017-03-15 00:00:56.784,2034,TCP  ,1.136.97.67,40,IOS App,42,Female,US,Premium,Spanish,1044.63,No,0.0,Cash,1044.63,1,0
2017-03-15 00:00:56.784,4125,TCP  ,1.144.96.234,46,Microsoft Edge,51,Male,CA,Premium,Spanish,11.648,No,0.0,Debit Card,11.648,1,0
2017-03-15 00:00:02.296,4281,TCP  ,1.144.96.77,420,Microsoft Edge,25,Female,AT,Premium,Spanish,90.57,No,0.0,Credit Card,90.57,1,0
2017-03-15 00:00:02.296,4107,TCP  ,1.144.97.41,4773,Microsoft Edge,50,Male,CA,Premium,Spanish,0.0,Yes,407.976,Cash,-407.976,0,1
2017-03-15 00:00:55.806,3789,TCP  ,1.152.96.14,3065,Microsoft Edge,65,Female,NO,Premium,Spanish,9.618,No,0.0,Cash,9.618,1,0
2017-03-15 00:00:55.806,3563,TCP  ,1.152.96.156,2871,Microsoft Edge,29,Male,CA,Premium,Spanish,124.2,No,0.0,Credit Card,124.2,1,0
2017-03-15 00:01:28.437,2339,TCP  ,1.152.96.251,46,Microsoft Edge,66,Female,MX,Premium,Spanish,3.264,No,0.0,Others,3.264,1,0
2017-03-15 00:01:28.437,4200,TCP  ,1.152.97.102,40,Safari,23,Male,CA,Premium,Spanish,86.304,No,0.0,Credit Card,86.304,1,0
2017-03-15 00:01:15.747,2979,TCP  ,1.152.97.25,3065,Safari,32,Female,IT,Premium,Spanish,0.0,Yes,8.56,Credit Card,-8.56,0,1
2017-03-15 00:01:15.747,4780,TCP  ,1.161.13.16,2871,Safari,51,Male,US,Premium,Spanish,15.76,No,0.0,Debit Card,15.76,1,0
2017-03-15 00:01:30.232,3183,TCP  ,1.161.27.235,329,Safari,66,Female,US,Premium,English,29.472,No,0.0,Credit Card,29.472,1,0
2017-03-15 00:01:30.232,3037,HTTP,1.162.51.164,2430,Others,68,Male,US,Premium,English,1097.544,No,0.0,Credit Card,1097.544,1,0
2017-03-15 00:01:32.957,2881,TCP  ,1.163.208.88,3065,Others,43,Male,IT,Premium,Spanish,190.92,No,0.0,Credit Card,190.92,1,0
2017-03-15 00:01:32.957,3033,TCP  ,1.164.141.85,2917,Others,59,Female,RU,Premium,Spanish,113.328,No,0.0,Credit Card,113.328,1,0
2017-03-15 00:02:19.498,4827,TCP  ,1.164.73.87,2157,Others,54,Male,RU,Premium,Spanish,532.3992,No,0.0,Cash,532.3992,1,0
2017-03-15 00:02:19.498,3264,TCP  ,1.168.54.202,3249,Others,24,Male,JP,Premium,Spanish,212.058,No,0.0,Cash,212.058,1,0
2017-03-15 00:00:46.705,4933,TCP  ,1.173.31.228,381,Others,49,Female,IT,Premium,Spanish,371.168,No,0.0,Cash,371.168,1,0
2017-03-15 00:00:46.705,3990,TCP  ,1.186.37.87,8669,Others,67,Male,US,Premium,Spanish,147.168,No,0.0,Credit Card,147.168,1,0
2017-03-15 00:02:34.788,3655,TCP  ,1.186.38.82,3065,Others,48,Female,IT,Premium,Spanish,77.88,No,0.0,Cash,77.88,1,0
2017-03-15 00:02:34.788,4420,TCP  ,1.186.98.212,3027,Others,40,Female,CA,Premium,Spanish,95.616,No,0.0,Cash,95.616,1,0
2017-03-15 00:02:14.124,2092,TCP  ,1.187.118.90,1029,Others,41,Female,JP,Premium,Spanish,45.98,No,0.0,Credit Card,45.98,1,0
2017-03-15 00:02:14.124,2646,TCP  ,1.187.188.80,7629,Safari,46,Male,IT,Premium,Spanish,17.46,No,0.0,Others,17.46,1,0
2017-03-15 00:02:55.012,3566,TCP  ,1.187.196.224,46,Safari,19,Female,IT,Premium,Spanish,211.96,No,0.0,Credit Card,211.96,1,0
2017-03-15 00:02:55.012,2200,TCP  ,1.187.201.169,40,Safari,43,Female,US,Premium,Spanish,45.0,No,0.0,Debit Card,45.0,1,0
2017-03-15 00:02:59.004,3928,TCP  ,1.187.207.245,329,Safari,18,Male,CA,Premium,Spanish,21.8,No,0.0,Others,21.8,1,0
2017-03-15 00:02:59.004,2585,TCP  ,1.187.58.245,4393,Safari,22,Female,CN,Premium,Spanish,38.22,No,0.0,Debit Card,38.22,1,0
2017-03-15 00:02:50.696,4855,TCP  ,1.187.84.143,3093,Safari,61,Female,CN,Premium,Spanish,75.18,No,0.0,Cash,75.18,1,0
2017-03-15 00:02:50.696,3301,TCP  ,1.187.86.94,2917,IOS App,41,Female,US,Premium,Spanish,0.0,Yes,113.328,Others,-113.328,0,1
2017-03-15 00:03:11.781,2293,TCP  ,1.187.87.117,2985,Microsoft Edge,53,Female,IT,Premium,Spanish,89.99,No,0.0,Credit Card,89.99,1,0
2017-03-15 00:03:11.781,2115,TCP  ,1.187.87.135,2843,Microsoft Edge,43,Female,CA,Premium,Spanish,15.26,No,0.0,Cash,15.26,1,0
2017-03-15 00:03:26.410,3742,TCP  ,1.187.94.62,2261,Microsoft Edge,45,Female,CN,Premium,Spanish,1029.95,No,0.0,Debit Card,1029.95,1,0
2017-03-15 00:03:26.410,1501,TCP  ,1.194.17.238,3249,IOS App,29,Female,US,Premium,Spanish,208.56,No,0.0,Others,208.56,1,0
2017-03-15 00:00:32.016,2800,TCP  ,1.200.201.129,2163,IOS App,43,Male,CA,Premium,Spanish,32.4,No,0.0,Cash,32.4,1,0
2017-03-15 00:00:32.016,4058,TCP  ,1.20.173.38,3237,IOS App,19,Female,AR,Premium,Spanish,319.41,No,0.0,Credit Card,319.41,1,0
2017-03-15 00:04:07.571,2858,TCP  ,1.20.175.155,46,IOS App,67,Female,GB,Premium,Spanish,14.56,No,0.0,Cash,14.56,1,0
2017-03-15 00:04:07.571,3921,TCP  ,1.20.175.187,40,IOS App,36,Female,DE,Premium,Spanish,30.0,No,0.0,Cash,30.0,1,0
2017-03-15 00:04:15.639,3814,TCP  ,1.20.245.38,46,Chrome,64,Male,US,Premium,Spanish,48.48,No,0.0,Others,48.48,1,0
2017-03-15 00:04:15.639,4678,TCP  ,1.20.34.63,40,Chrome,33,Female,JP,Premium,Spanish,0.0,Yes,45.0,Others,-45.0,0,1
2017-03-15 00:04:20.538,3357,TCP  ,1.2.148.206,46,Chrome,33,Female,AU,Premium,Spanish,13.98,No,0.0,Credit Card,13.98,1,0
2017-03-15 00:04:20.538,1773,TCP  ,1.204.26.164,40,Chrome,66,Male,IT,Premium,Spanish,25.824,No,0.0,Cash,25.824,1,0
2017-03-15 00:01:26.295,1623,TCP  ,1.212.121.254,2283,Chrome,29,Female,RU,Premium,Spanish,0.0,Yes,75.18,Debit Card,-75.18,0,1
